k-crossValidation	n_estimators	accuracy
5	25	0.7520000000000001
5	50	0.8149999999999998
5	75	0.805
5	100	0.8089999999999999
10	25	0.7449999999999999
10	50	0.8059999999999998
10	75	0.812
10	100	0.807
15	25	0.7570782451379466
15	50	0.791044776119403
15	75	0.8130710085933966
15	100	0.8138851198552692
20	25	0.7470000000000001
20	50	0.7849999999999999
20	75	0.8160000000000002
20	100	0.8089999999999999
25	25	0.7830000000000001
25	50	0.7980000000000002
25	75	0.8019999999999999
25	100	0.828
30	25	0.7798276886512177
30	50	0.7890968508615567
30	75	0.8260249554367199
30	100	0.8050207961972667
35	25	0.7781843771991555
35	50	0.8100985221674878
35	75	0.7982054890921886
35	100	0.8060520760028147
40	25	0.7480000000000002
40	50	0.7940000000000003
40	75	0.8140000000000004
40	100	0.8180000000000002
45	25	0.7646903820816866
45	50	0.7935441370223981
45	75	0.8122968818620991
45	100	0.8178304787000438
50	25	0.7550000000000001
50	50	0.7979999999999998
50	75	0.8019999999999997
50	100	0.811
