t5304	t7320
t7717	t4455
t3072	t7923
t3600	t644
t9363	t1012
t6539	t321
t9445	t6370
t8979	t3575
t4969	t2390
t6261	t5262
t1513	t764
t9549	t1488
t1998	t5871
t2475	t1142
t7270	t8387
t797	t3088
t5999	t1403
t288	t6999
t8496	t4615
t9455	t8164
t6520	t6906
t6235	t3702
t5442	t906
t4755	t5544
t4015	t2356
t8090	t1898
t379	t3446
t4591	t1206
t1374	t3257
t3136	t8469
t7563	t3466
t9596	t787
t5551	t7693
t9620	t8561
t1295	t6680
t617	t3684
t6092	t3783
t9230	t1583
t6613	t9385
t673	t2432
t7412	t7623
t4530	t7907
t6571	t2100
t1768	t5248
t1088	t5015
t5239	t2001
t4022	t3358
t4792	t7973
t1436	t492
t1057	t5702
t4638	t1297
t3020	t2121
t104	t4172
t2957	t7111
t7958	t1621
t840	t9579
t8535	t448
t2535	t8642
t9724	t8861
t980	t2023
t969	t6244
t462	t7069
t4099	t3725
t3495	t1952
t6205	t4467
t269	t8413
t2839	t9303
t9355	t5416
t8805	t8306
t5411	t9894
t646	t4628
t1726	t9170
t3727	t3982
t9248	t4211
t3889	t538
t1782	t7716
t8826	t9285
t3268	t7998
t7527	t8101
t4910	t5780
