K_max	Best Sigma	Accuracy
10	1.0506252055313103	0.9650238473767886
20	0.9744833471610583	0.9682034976152624
30	0.9744833471610583	0.9682034976152624
40	0.9444888568118739	0.9697933227344993
50	0.9444888568118739	0.9697933227344993
60	0.9444888568118739	0.9697933227344993
70	0.9444888568118739	0.9697933227344993
80	0.9444888568118739	0.9697933227344993
90	0.9444888568118739	0.9697933227344993
100	0.9444888568118739	0.9697933227344993
---------
10	1.0506252055313103	0.9428571428571428
20	0.9744833471610583	0.9428571428571428
30	0.9744833471610583	0.9428571428571428
40	0.9444888568118739	0.9428571428571428
50	0.9444888568118739	0.9428571428571428
60	0.9444888568118739	0.9428571428571428
70	0.9444888568118739	0.9428571428571428
80	0.9444888568118739	0.9428571428571428
90	0.9444888568118739	0.9428571428571428
100	0.9444888568118739	0.9428571428571428
