K_max	a	b	Step_size	Best Sigma	Accuracy
10	1.5	0.7	0.1	0.46090988089684903	0.9634920634920635
10	1.5	0.7	0.5	0.8349481524409343	0.9714285714285714
10	1.5	0.5	0.1	0.9217885224888059	0.973015873015873
10	1.5	0.5	0.5	0.8266456368489289	0.973015873015873
10	2	0.7	0.1	0.9217885224888059	0.973015873015873
10	2	0.7	0.5	0.8266456368489289	0.973015873015873
10	2	0.5	0.1	0.9217885224888059	0.973015873015873
10	2	0.5	0.5	0.8266456368489289	0.973015873015873
20	1.5	0.7	0.1	0.4596300719512127	0.9634920634920635
20	1.5	0.7	0.5	0.9465765864598674	0.9714285714285714
20	1.5	0.5	0.1	0.9217885224888059	0.973015873015873
20	1.5	0.5	0.5	0.8266456368489289	0.973015873015873
20	2	0.7	0.1	0.9217885224888059	0.973015873015873
20	2	0.7	0.5	0.8266456368489289	0.973015873015873
20	2	0.5	0.1	0.9217885224888059	0.973015873015873
20	2	0.5	0.5	0.8266456368489289	0.973015873015873
30	1.5	0.7	0.1	0.400507706326444	0.9634920634920635
30	1.5	0.7	0.5	0.9465765864598674	0.9714285714285714
30	1.5	0.5	0.1	0.8078749662710908	0.973015873015873
30	1.5	0.5	0.5	0.8266456368489289	0.973015873015873
30	2	0.7	0.1	0.9217885224888059	0.973015873015873
30	2	0.7	0.5	0.8266456368489289	0.973015873015873
30	2	0.5	0.1	0.8078749662710908	0.973015873015873
30	2	0.5	0.5	0.8266456368489289	0.973015873015873
40	1.5	0.7	0.1	0.4004179239121981	0.9634920634920635
40	1.5	0.7	0.5	0.9465765864598674	0.9714285714285714
40	1.5	0.5	0.1	0.9181214915855176	0.973015873015873
40	1.5	0.5	0.5	0.8266456368489289	0.973015873015873
40	2	0.7	0.1	0.9181214915855176	0.973015873015873
40	2	0.7	0.5	0.8266456368489289	0.973015873015873
40	2	0.5	0.1	0.9181214915855176	0.973015873015873
40	2	0.5	0.5	0.8266456368489289	0.973015873015873
50	1.5	0.7	0.1	0.44397137929343444	0.9634920634920635
50	1.5	0.7	0.5	0.8224943790529262	0.973015873015873
50	1.5	0.5	0.1	0.8260921358094618	0.973015873015873
50	1.5	0.5	0.5	0.8238781316515937	0.973015873015873
50	2	0.7	0.1	0.8258707353936751	0.973015873015873
50	2	0.7	0.5	0.8227711295726596	0.973015873015873
50	2	0.5	0.1	0.8260921358094618	0.973015873015873
50	2	0.5	0.5	0.8238781316515937	0.973015873015873
60	1.5	0.7	0.1	0.4567153029664	0.9634920634920635
60	1.5	0.7	0.5	0.9164133034817669	0.973015873015873
60	1.5	0.5	0.1	0.8260921358094618	0.973015873015873
60	1.5	0.5	0.5	0.8238781316515937	0.973015873015873
60	2	0.7	0.1	0.8258707353936751	0.973015873015873
60	2	0.7	0.5	0.9192846983569585	0.973015873015873
60	2	0.5	0.1	0.8260921358094618	0.973015873015873
60	2	0.5	0.5	0.8238781316515937	0.973015873015873
70	1.5	0.7	0.1	0.4389668644431968	0.9634920634920635
70	1.5	0.7	0.5	0.9164133034817669	0.973015873015873
70	1.5	0.5	0.1	0.8208662205434374	0.973015873015873
70	1.5	0.5	0.5	0.8238781316515937	0.973015873015873
70	2	0.7	0.1	0.8208662205434374	0.973015873015873
70	2	0.7	0.5	0.9192846983569585	0.973015873015873
70	2	0.5	0.1	0.8208662205434374	0.973015873015873
70	2	0.5	0.5	0.8238781316515937	0.973015873015873
80	1.5	0.7	0.1	0.4328608174698534	0.9634920634920635
80	1.5	0.7	0.5	0.8078871993933852	0.973015873015873
80	1.5	0.5	0.1	0.814760173570094	0.973015873015873
80	1.5	0.5	0.5	0.8177130475843842	0.973015873015873
80	2	0.7	0.1	0.814760173570094	0.973015873015873
80	2	0.7	0.5	0.8141400118785663	0.973015873015873
80	2	0.5	0.1	0.814760173570094	0.973015873015873
80	2	0.5	0.5	0.8177130475843842	0.973015873015873
90	1.5	0.7	0.1	0.4562032316377678	0.9634920634920635
90	1.5	0.7	0.5	0.8078871993933852	0.973015873015873
90	1.5	0.5	0.1	0.8207029052095114	0.973015873015873
90	1.5	0.5	0.5	0.8177130475843842	0.973015873015873
90	2	0.7	0.1	0.8183258125537445	0.973015873015873
90	2	0.7	0.5	0.8141400118785663	0.973015873015873
90	2	0.5	0.1	0.8207029052095114	0.973015873015873
90	2	0.5	0.5	0.8177130475843842	0.973015873015873
100	1.5	0.7	0.1	0.4161958644565024	0.9634920634920635
100	1.5	0.7	0.5	0.8078871993933852	0.973015873015873
100	1.5	0.5	0.1	0.8050434034889914	0.973015873015873
100	1.5	0.5	0.5	0.8177130475843842	0.973015873015873
100	2	0.7	0.1	0.8183258125537445	0.973015873015873
100	2	0.7	0.5	0.8141400118785663	0.973015873015873
100	2	0.5	0.1	0.8050434034889914	0.973015873015873
100	2	0.5	0.5	0.8177130475843842	0.973015873015873
---------
10	1.5	0.7	0.1	0.46090988089684903	0.8985507246376812
10	1.5	0.7	0.5	0.8349481524409343	0.9130434782608695
10	1.5	0.5	0.1	0.9217885224888059	0.9130434782608695
10	1.5	0.5	0.5	0.8266456368489289	0.9130434782608695
10	2	0.7	0.1	0.9217885224888059	0.9130434782608695
10	2	0.7	0.5	0.8266456368489289	0.9130434782608695
10	2	0.5	0.1	0.9217885224888059	0.9130434782608695
10	2	0.5	0.5	0.8266456368489289	0.9130434782608695
20	1.5	0.7	0.1	0.4596300719512127	0.8985507246376812
20	1.5	0.7	0.5	0.9465765864598674	0.9130434782608695
20	1.5	0.5	0.1	0.9217885224888059	0.9130434782608695
20	1.5	0.5	0.5	0.8266456368489289	0.9130434782608695
20	2	0.7	0.1	0.9217885224888059	0.9130434782608695
20	2	0.7	0.5	0.8266456368489289	0.9130434782608695
20	2	0.5	0.1	0.9217885224888059	0.9130434782608695
20	2	0.5	0.5	0.8266456368489289	0.9130434782608695
30	1.5	0.7	0.1	0.400507706326444	0.8985507246376812
30	1.5	0.7	0.5	0.9465765864598674	0.9130434782608695
30	1.5	0.5	0.1	0.8078749662710908	0.9130434782608695
30	1.5	0.5	0.5	0.8266456368489289	0.9130434782608695
30	2	0.7	0.1	0.9217885224888059	0.9130434782608695
30	2	0.7	0.5	0.8266456368489289	0.9130434782608695
30	2	0.5	0.1	0.8078749662710908	0.9130434782608695
30	2	0.5	0.5	0.8266456368489289	0.9130434782608695
40	1.5	0.7	0.1	0.4004179239121981	0.8985507246376812
40	1.5	0.7	0.5	0.9465765864598674	0.9130434782608695
40	1.5	0.5	0.1	0.9181214915855176	0.9130434782608695
40	1.5	0.5	0.5	0.8266456368489289	0.9130434782608695
40	2	0.7	0.1	0.9181214915855176	0.9130434782608695
40	2	0.7	0.5	0.8266456368489289	0.9130434782608695
40	2	0.5	0.1	0.9181214915855176	0.9130434782608695
40	2	0.5	0.5	0.8266456368489289	0.9130434782608695
50	1.5	0.7	0.1	0.44397137929343444	0.8985507246376812
50	1.5	0.7	0.5	0.8224943790529262	0.9130434782608695
50	1.5	0.5	0.1	0.8260921358094618	0.9130434782608695
50	1.5	0.5	0.5	0.8238781316515937	0.9130434782608695
50	2	0.7	0.1	0.8258707353936751	0.9130434782608695
50	2	0.7	0.5	0.8227711295726596	0.9130434782608695
50	2	0.5	0.1	0.8260921358094618	0.9130434782608695
50	2	0.5	0.5	0.8238781316515937	0.9130434782608695
60	1.5	0.7	0.1	0.4567153029664	0.8985507246376812
