K_max	beta	alpha	Best Sigma	Accuracy
10	1	1	1.0348199924079289	0.9634340222575517
10	1	2	0.8436759462312359	0.9666136724960255
10	5	1	0.852717835440268	0.9666136724960255
10	5	2	-0.9740318988618836	0.9650238473767886
10	10	1	0.9212788841052937	0.9650238473767886
10	10	2	-1.6450801214906643	0.9395866454689984
20	1	1	0.9232426999185703	0.9650238473767886
20	1	2	0.8436759462312359	0.9666136724960255
20	5	1	0.852717835440268	0.9666136724960255
20	5	2	-0.8337518109454398	0.9666136724960255
20	10	1	0.9212788841052937	0.9650238473767886
20	10	2	-0.9998627765605118	0.9650238473767886
30	1	1	0.9232426999185703	0.9650238473767886
30	1	2	0.8436759462312359	0.9666136724960255
30	5	1	0.852717835440268	0.9666136724960255
30	5	2	-0.8337518109454398	0.9666136724960255
30	10	1	0.9212788841052937	0.9650238473767886
30	10	2	-0.84097493085658	0.9666136724960255
40	1	1	0.9232426999185703	0.9650238473767886
40	1	2	0.8436759462312359	0.9666136724960255
40	5	1	0.852717835440268	0.9666136724960255
40	5	2	-0.8337518109454398	0.9666136724960255
40	10	1	0.9212788841052937	0.9650238473767886
40	10	2	-0.84097493085658	0.9666136724960255
50	1	1	0.9232426999185703	0.9650238473767886
50	1	2	0.8436759462312359	0.9666136724960255
50	5	1	0.852717835440268	0.9666136724960255
50	5	2	-0.8337518109454398	0.9666136724960255
50	10	1	0.9212788841052937	0.9650238473767886
50	10	2	-0.84097493085658	0.9666136724960255
60	1	1	0.9232426999185703	0.9650238473767886
60	1	2	0.8436759462312359	0.9666136724960255
60	5	1	0.852717835440268	0.9666136724960255
60	5	2	-0.8337518109454398	0.9666136724960255
60	10	1	0.9212788841052937	0.9650238473767886
60	10	2	-0.84097493085658	0.9666136724960255
70	1	1	0.9232426999185703	0.9650238473767886
70	1	2	0.8436759462312359	0.9666136724960255
70	5	1	0.852717835440268	0.9666136724960255
70	5	2	-0.8337518109454398	0.9666136724960255
70	10	1	0.9212788841052937	0.9650238473767886
70	10	2	-0.84097493085658	0.9666136724960255
80	1	1	0.9232426999185703	0.9650238473767886
80	1	2	0.8436759462312359	0.9666136724960255
80	5	1	0.852717835440268	0.9666136724960255
80	5	2	-0.8337518109454398	0.9666136724960255
80	10	1	0.9212788841052937	0.9650238473767886
80	10	2	-0.84097493085658	0.9666136724960255
90	1	1	0.9232426999185703	0.9650238473767886
90	1	2	0.8436759462312359	0.9666136724960255
90	5	1	0.852717835440268	0.9666136724960255
90	5	2	-0.8337518109454398	0.9666136724960255
90	10	1	0.9212788841052937	0.9650238473767886
90	10	2	-0.84097493085658	0.9666136724960255
100	1	1	0.9232426999185703	0.9650238473767886
100	1	2	0.8436759462312359	0.9666136724960255
100	5	1	0.852717835440268	0.9666136724960255
100	5	2	-0.8337518109454398	0.9666136724960255
100	10	1	0.9212788841052937	0.9650238473767886
100	10	2	-0.84097493085658	0.9666136724960255
---------
10	1	1	1.0348199924079289	0.9714285714285714
10	1	2	0.8436759462312359	0.9714285714285714
10	5	1	0.852717835440268	0.9714285714285714
10	5	2	-0.9740318988618836	0.9714285714285714
10	10	1	0.9212788841052937	0.9714285714285714
10	10	2	-1.6450801214906643	0.9285714285714286
20	1	1	0.9232426999185703	0.9714285714285714
20	1	2	0.8436759462312359	0.9714285714285714
20	5	1	0.852717835440268	0.9714285714285714
20	5	2	-0.8337518109454398	0.9714285714285714
20	10	1	0.9212788841052937	0.9714285714285714
20	10	2	-0.9998627765605118	0.9714285714285714
30	1	1	0.9232426999185703	0.9714285714285714
30	1	2	0.8436759462312359	0.9714285714285714
30	5	1	0.852717835440268	0.9714285714285714
30	5	2	-0.8337518109454398	0.9714285714285714
30	10	1	0.9212788841052937	0.9714285714285714
30	10	2	-0.84097493085658	0.9714285714285714
40	1	1	0.9232426999185703	0.9714285714285714
40	1	2	0.8436759462312359	0.9714285714285714
40	5	1	0.852717835440268	0.9714285714285714
40	5	2	-0.8337518109454398	0.9714285714285714
40	10	1	0.9212788841052937	0.9714285714285714
40	10	2	-0.84097493085658	0.9714285714285714
50	1	1	0.9232426999185703	0.9714285714285714
50	1	2	0.8436759462312359	0.9714285714285714
50	5	1	0.852717835440268	0.9714285714285714
50	5	2	-0.8337518109454398	0.9714285714285714
50	10	1	0.9212788841052937	0.9714285714285714
50	10	2	-0.84097493085658	0.9714285714285714
60	1	1	0.9232426999185703	0.9714285714285714
60	1	2	0.8436759462312359	0.9714285714285714
60	5	1	0.852717835440268	0.9714285714285714
60	5	2	-0.8337518109454398	0.9714285714285714
60	10	1	0.9212788841052937	0.9714285714285714
60	10	2	-0.84097493085658	0.9714285714285714
70	1	1	0.9232426999185703	0.9714285714285714
70	1	2	0.8436759462312359	0.9714285714285714
70	5	1	0.852717835440268	0.9714285714285714
70	5	2	-0.8337518109454398	0.9714285714285714
70	10	1	0.9212788841052937	0.9714285714285714
70	10	2	-0.84097493085658	0.9714285714285714
80	1	1	0.9232426999185703	0.9714285714285714
80	1	2	0.8436759462312359	0.9714285714285714
80	5	1	0.852717835440268	0.9714285714285714
80	5	2	-0.8337518109454398	0.9714285714285714
80	10	1	0.9212788841052937	0.9714285714285714
80	10	2	-0.84097493085658	0.9714285714285714
90	1	1	0.9232426999185703	0.9714285714285714
90	1	2	0.8436759462312359	0.9714285714285714
90	5	1	0.852717835440268	0.9714285714285714
90	5	2	-0.8337518109454398	0.9714285714285714
90	10	1	0.9212788841052937	0.9714285714285714
90	10	2	-0.84097493085658	0.9714285714285714
100	1	1	0.9232426999185703	0.9714285714285714
100	1	2	0.8436759462312359	0.9714285714285714
100	5	1	0.852717835440268	0.9714285714285714
100	5	2	-0.8337518109454398	0.9714285714285714
100	10	1	0.9212788841052937	0.9714285714285714
100	10	2	-0.84097493085658	0.9714285714285714
