K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.9567287784679089	0.9642857142857143	0.02754603412106776	0.8840579710144928	1.0	0.9512630476829232	0.9621945092528951
20	0.9581552795031056	0.9714285714285714	0.029068620514360283	0.8840579710144928	1.0	0.9523874345449492	0.9639231244612625
30	0.9582981366459628	0.9714285714285714	0.028742286325559994	0.8840579710144928	1.0	0.9525950434707336	0.9640012298211921
40	0.9587246376811595	0.9714285714285714	0.028622340166143883	0.8840579710144928	1.0	0.9530453444262084	0.9644039309361105
50	0.9587246376811595	0.9714285714285714	0.028622340166143883	0.8840579710144928	1.0	0.9530453444262086	0.9644039309361108
60	0.9588674948240166	0.9714285714285714	0.028505735353814166	0.8840579710144928	1.0	0.953211338493591	0.9645236511544426
70	0.9590103519668737	0.9714285714285714	0.02853278874305328	0.8840579710144928	1.0	0.9533488276570956	0.9646718762766522
80	0.9590082815734989	0.9714285714285714	0.028613519131864388	0.8840579710144928	1.0	0.9533307386031227	0.9646858245438754
90	0.9590082815734989	0.9714285714285714	0.028900258167920283	0.8840579710144928	1.0	0.9532738433575226	0.9647427197894757
100	0.9585797101449276	0.9714285714285714	0.02903168564519117	0.8840579710144928	1.0	0.952819193866122	0.9643402264237338
