K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.9645900621118012	0.9714285714285714	0.02556785239307968	0.9130434782608695	1.0	0.9595168454985994	0.9696632787250035
20	0.9645900621118012	0.9714285714285714	0.025406088905277676	0.9130434782608695	1.0	0.9595489428840626	0.9696311813395403
30	0.9641614906832299	0.9714285714285714	0.025326359155068624	0.9130434782608695	1.0	0.9591361915676816	0.9691867897987784
40	0.9641614906832299	0.9714285714285714	0.025326359155068624	0.9130434782608695	1.0	0.9591361915676816	0.9691867897987784
50	0.964304347826087	0.9714285714285714	0.025245135045133135	0.9130434782608695	1.0	0.9592951653361191	0.969313530316055
60	0.9645900621118012	0.9714285714285714	0.025406088905277676	0.9130434782608695	1.0	0.9595489428840626	0.9696311813395403
70	0.9647329192546584	0.9714285714285714	0.025322678432985378	0.9130434782608695	1.0	0.9597083504742252	0.9697574880350919
80	0.9644472049689441	0.9714285714285714	0.025162829535444402	0.9130434782608695	1.0	0.9594543536777291	0.9694400562601595
90	0.9645900621118012	0.9714285714285714	0.025406088905277676	0.9130434782608695	1.0	0.9595489428840626	0.9696311813395403
100	0.9644472049689441	0.9714285714285714	0.02548841766945737	0.9130434782608695	1.0	0.9593897499282572	0.9695046600096314
