K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.9403747412008282	0.9714285714285714	0.08157379352531424	0.6285714285714286	1.0	0.9241887308096488	0.9565607515920083
20	0.9509648033126294	0.9714285714285714	0.06581723584657005	0.6285714285714286	1.0	0.9379052358058088	0.9640243708194506
30	0.9529772256728779	0.9714285714285714	0.06386549972122246	0.6285714285714286	1.0	0.9403049249565357	0.9656495263892203
40	0.9529751552795032	0.9714285714285714	0.06406438408954832	0.6285714285714286	1.0	0.9402633915896588	0.9656869189693478
50	0.9539792960662526	0.9714285714285714	0.0609640990980856	0.6285714285714286	1.0	0.9418826961798652	0.9660758959526405
60	0.9565507246376812	0.9714285714285714	0.057280951549428534	0.6285714285714286	1.0	0.945184941131389	0.9679165081439737
70	0.9566935817805383	0.9714285714285714	0.057300254068776986	0.6285714285714286	1.0	0.9453239682356364	0.9680631953254407
80	0.9566935817805383	0.9714285714285714	0.057300254068776986	0.6285714285714286	1.0	0.9453239682356364	0.9680631953254407
90	0.9565507246376812	0.9714285714285714	0.05731692831680443	0.6285714285714286	1.0	0.9451778025602202	0.9679236467151424
100	0.9565507246376812	0.9714285714285714	0.05731692831680443	0.6285714285714286	1.0	0.9451778025602202	0.9679236467151424
