[0.3, 0.52, -1.17]	[-1.06, -2.13, -0.07]	[0.43, 2.25, -0.36]	[1.22, -0.71, -2.02]	[0.26, -0.1, 1.27]	[-0.79, 0.79, 2.17]	[-0.47, 1.33, -0.09]	[-0.09, 1.42, -0.62]	[0.66, 2.01, 1.03]	[-1.68, 0.38, -0.48]
[-1.93, -0.55, 2.04]	[-1.13, -0.37, 2.21]	[-1.54, -0.13, -0.4]	[2.06, 0.33, 1.42]	[-1.83, 1.24, -0.56]	[-2.3, 2.17, -0.79]	[1.31, -1.77, 0.53]	[-1.9, -1.54, 2.43]	[-0.17, -0.84, 0.56]	[0.54, -0.49, -1.24]
[-0.13, -2.26, -1.24]	[0.36, 1.32, 1.95]	[1.82, -0.64, -1.41]	[-2.32, 2.15, 2.45]	[-2.43, -0.81, 0.22]	[0.21, 1.99, 2.43]	[0.82, 0.24, -2.45]	[0.89, -0.03, -0.3]	[1.3, -2.08, 2.22]	[-2.37, -1.35, -2.15]
[0.03, 0.19, 1.97]	[-0.35, -2.1, 1.66]	[1.81, 0.95, -1.76]	[0.82, 1.52, 2.19]	[0.33, 1.81, -1.1]	[-0.75, -0.59, -0.91]	[-0.62, -0.18, 0.0]	[0.94, -1.75, -2.02]	[0.79, -0.34, -0.51]	[-1.09, 1.94, -2.19]
[0.3, 1.58, 2.24]	[-1.32, -1.51, -0.39]	[-0.01, -1.97, 0.66]	[-0.56, 2.48, -2.46]	[2.37, -0.03, -0.76]	[-0.23, 0.82, -1.98]	[-0.93, -1.26, -0.19]	[0.88, -0.25, 0.63]	[0.21, 2.26, -2.16]	[-2.19, -1.12, -0.61]
[-1.91, -1.69, -1.86]	[1.76, -2.25, -1.03]	[-1.91, 0.8, 1.95]	[1.17, 0.74, 0.43]	[0.08, 1.46, -1.72]	[-1.68, 2.1, 0.14]	[-0.07, -1.52, 2.29]	[-2.02, 0.1, 0.83]	[0.46, 0.47, 1.78]	[0.52, -1.87, -1.14]
[0.79, 0.01, 0.79]	[-2.03, 2.41, -1.02]	[-0.14, -1.7, -0.61]	[-1.03, -0.99, -1.77]	[2.36, 0.19, 0.87]	[-1.3, 0.85, -1.55]	[0.26, 1.3, 0.47]	[-0.45, -2.1, 2.02]	[-0.35, -2.03, -2.05]	[1.82, 1.94, -2.14]
[0.98, -0.83, -0.31]	[1.16, 1.18, 1.77]	[-2.48, 1.6, -1.64]	[-2.32, 2.1, -2.39]	[-1.53, -1.87, -1.21]	[1.59, 1.37, 0.94]	[0.03, 1.79, -1.52]	[-1.15, -0.54, 1.51]	[-1.59, -1.58, -0.31]	[-1.48, 1.52, -0.69]
[-2.06, -2.17, 1.33]	[1.73, 1.04, 2.08]	[-1.6, -1.14, 0.06]	[1.69, -0.84, -0.16]	[1.4, -0.65, 1.46]	[-0.11, 2.21, 0.82]	[0.41, -1.87, -0.69]	[-0.25, -1.49, -1.22]	[0.16, 1.68, 0.5]	[1.03, 1.64, 0.19]
[-0.98, -0.67, 1.85]	[-2.48, 2.26, 1.24]	[1.76, 2.38, 2.07]	[-0.09, -2.23, 1.03]	[1.19, 1.84, -1.45]	[-0.01, 0.21, -1.26]	[-1.04, 1.49, -0.27]	[2.21, 1.07, 1.96]	[0.55, -2.26, -1.84]	[-2.37, 2.41, -0.89]
