[-1.46, 2.28, -1.41]	[-0.13, 0.2, 0.78]	[-2.4, 2.16, 0.98]	[2.31, -1.37, -0.38]	[1.74, -0.42, 0.09]	[-1.93, 2.29, 1.98]	[-1.79, 1.04, 1.95]	[0.34, 1.9, -0.15]	[-1.05, -0.69, 1.28]	[-0.53, -0.87, 1.14]	[1.7, -0.26, 0.29]	[0.11, -1.74, -2.4]	[-0.24, -1.27, 0.19]	[-2.16, 2.42, -1.26]	[1.53, 0.78, 0.55]
[-1.14, 0.35, -2.01]	[-2.45, 0.93, 0.74]	[2.18, 1.77, 2.18]	[-1.39, 0.4, 0.66]	[1.8, 1.87, 0.34]	[1.26, 1.05, -2.39]	[0.6, -0.88, -0.34]	[-0.35, -0.68, -2.39]	[1.33, 0.71, -2.34]	[-1.91, 0.18, -1.09]	[2.09, 0.12, 0.74]	[-2.36, 2.19, 1.81]	[-1.36, 1.42, -0.23]	[1.58, 2.3, -0.98]	[-2.36, 1.72, -1.01]
[-0.46, 1.7, -2.38]	[-0.85, -0.49, 0.94]	[1.13, 1.38, 1.29]	[-2.24, -1.95, -2.3]	[-1.93, 0.15, 0.79]	[-2.06, -2.22, -1.47]	[2.42, -0.22, 0.77]	[1.35, -2.13, -0.37]	[1.47, 1.12, -1.08]	[2.11, -2.29, 1.89]	[-1.09, -0.62, -0.9]	[-0.65, 2.44, 2.34]	[1.91, 0.29, -0.02]	[-0.9, 2.4, 0.95]	[-2.38, 1.35, -1.35]
[0.46, -1.07, 0.47]	[0.65, 1.9, 0.56]	[1.32, 1.81, 0.72]	[-2.49, -0.03, 1.75]	[1.47, 0.88, -1.37]	[0.37, 1.32, -1.49]	[-1.92, -1.9, -1.36]	[0.07, -0.53, -1.27]	[0.23, 1.68, 1.86]	[0.03, -1.3, 1.43]	[0.9, -1.79, -1.82]	[0.3, 0.32, 2.2]	[-1.23, -1.62, 0.16]	[1.09, 0.73, 1.05]	[2.3, 0.23, -2.16]
[-1.26, -0.66, -0.01]	[2.05, 0.52, -2.22]	[-1.28, -0.3, 2.36]	[1.21, 2.24, -1.29]	[2.32, -0.2, -0.61]	[1.13, 1.85, 1.58]	[1.33, 2.1, 0.49]	[1.25, -0.12, -1.88]	[-1.67, 0.86, -1.86]	[-0.68, 0.41, 1.11]	[-1.54, 1.88, 0.88]	[0.8, 1.98, 2.31]	[-0.94, 2.44, -0.42]	[0.98, 0.49, -2.34]	[-2.13, -0.63, 2.43]
[-2.37, 2.27, 2.0]	[-0.69, 1.38, -2.29]	[-0.84, -1.17, -0.33]	[1.99, 2.35, 1.86]	[-1.4, -1.03, 1.63]	[1.2, -1.47, -1.4]	[-0.7, -1.05, 2.39]	[2.42, 1.63, -0.33]	[1.5, 0.76, 0.0]	[1.44, 0.59, 1.61]	[-2.07, -0.16, 1.12]	[-0.63, -0.15, 0.6]	[1.8, -0.07, -1.35]	[-0.23, -2.45, 1.64]	[-0.67, -1.06, 0.0]
[1.61, 1.23, 0.11]	[1.31, -1.25, -1.78]	[-0.9, -0.73, 2.39]	[-1.24, 2.15, 0.92]	[1.48, -1.94, 2.04]	[2.33, -1.71, 2.07]	[-1.45, 0.47, 0.69]	[2.08, 1.12, 0.27]	[0.87, 0.81, 1.86]	[-1.81, 2.5, 0.0]	[-2.04, 0.73, 0.03]	[0.19, 1.18, -1.3]	[-0.17, -2.08, -1.2]	[-1.07, 0.09, 1.57]	[1.66, 1.13, 0.34]
[-0.06, 2.46, 1.18]	[0.17, 2.39, 1.28]	[1.26, -1.86, 0.73]	[1.63, -0.14, -0.22]	[-0.53, 0.73, -1.68]	[-1.61, -2.4, 1.37]	[2.43, -0.83, -0.46]	[2.05, -2.22, -2.11]	[-1.41, 2.43, -1.22]	[0.42, -1.24, 1.93]	[-0.34, -2.07, 2.5]	[-1.11, 2.19, 1.48]	[-1.73, -1.55, -0.93]	[-0.19, 0.36, 1.6]	[0.24, 2.5, -1.38]
[2.31, -0.93, -1.46]	[-1.14, -0.27, -2.32]	[-0.82, -0.62, 0.19]	[0.91, -0.57, -1.65]	[1.24, -1.99, -2.12]	[-1.5, -1.48, -1.21]	[0.58, 1.79, -2.18]	[1.46, -1.49, -1.27]	[-1.92, -0.15, 0.6]	[-1.47, -1.86, 0.15]	[2.4, 0.56, -2.03]	[-1.19, 1.11, 0.99]	[-2.45, -0.15, -2.36]	[-1.47, -2.17, 1.16]	[1.23, -2.41, -1.53]
[2.13, -0.08, 0.8]	[0.51, -1.71, -2.23]	[1.26, 0.23, 1.11]	[1.12, -1.31, 0.71]	[1.87, -1.53, 0.26]	[-0.49, -0.59, 0.8]	[0.63, -1.64, -0.51]	[-2.31, -0.41, 2.35]	[-0.3, -2.29, 0.43]	[-1.48, 2.44, -0.45]	[-0.32, 0.7, -0.82]	[0.19, 0.85, -2.32]	[0.14, -0.57, -0.58]	[2.1, -0.23, 2.19]	[0.66, 1.16, -1.9]
