[0.82, -1.15, 0.27]	[-0.84, 0.39, 0.08]	[-0.29, -0.32, -2.49]	[-0.02, -2.21, 1.92]
[-2.33, -1.47, -1.37]	[-0.26, 2.13, 0.41]	[-0.8, -1.77, -2.26]	[2.1, 0.83, -0.82]
[-1.72, 1.05, -0.87]	[-1.1, 1.86, -2.14]	[0.16, -1.2, 1.43]	[1.83, -2.23, -2.14]
[0.9, -1.87, 0.86]	[1.37, 0.42, -0.41]	[2.06, -1.8, -1.57]	[-0.58, -1.38, -1.04]
[0.25, 0.26, -2.38]	[0.63, 0.61, -0.19]	[2.3, -2.15, -1.18]	[0.35, 1.6, -0.17]
[0.71, 0.23, 1.62]	[1.29, -1.08, -0.08]	[0.31, -0.1, 1.03]	[1.04, -2.36, -1.82]
[-0.61, -1.6, -2.07]	[0.98, 2.04, -2.35]	[1.59, -0.13, -0.15]	[-2.31, 0.58, -1.77]
[1.52, -0.61, -0.24]	[1.87, 0.69, 2.29]	[1.53, -2.47, -0.32]	[0.21, 0.36, -0.27]
[-0.56, 0.42, -2.3]	[1.27, -0.98, -2.46]	[1.64, -0.67, 2.44]	[-1.93, 1.73, -2.38]
[-0.79, -1.22, 0.83]	[-0.34, 0.79, 2.36]	[-1.29, 2.39, 1.58]	[-2.13, 0.85, -0.34]
