[-0.95, -0.02, -0.7]	[-1.44, -0.86, 1.74]	[-0.87, 1.55, -0.19]	[-2.31, 0.0, 0.67]	[-0.99, -1.24, 1.92]
[-1.84, -0.45, -1.5]	[0.81, -0.82, -1.62]	[1.83, 0.0, 0.51]	[1.99, 0.52, 1.93]	[0.5, 1.19, -0.01]
[-1.08, -2.0, 2.09]	[-0.42, 0.5, 0.27]	[1.13, -1.4, 1.23]	[0.11, -1.95, 1.28]	[1.02, -2.35, -2.35]
[-0.89, 2.05, 0.64]	[0.99, -0.11, -2.21]	[-1.41, 1.9, -2.31]	[1.84, -1.76, -1.97]	[-1.8, 1.95, -0.05]
[1.65, -2.16, -0.57]	[1.69, -1.47, 0.01]	[1.78, 0.36, 0.74]	[-1.05, 2.46, -2.43]	[-0.75, -1.65, 1.79]
[0.05, -0.45, 1.22]	[-1.82, 2.44, 1.28]	[0.99, 2.19, 1.58]	[-1.16, -0.84, -1.6]	[-1.37, -2.44, -2.35]
[0.01, 0.64, -1.43]	[-0.3, 2.19, 1.3]	[1.46, 0.71, -2.4]	[-2.0, -1.97, 0.74]	[-1.52, 1.01, -1.69]
[1.24, 1.53, -1.05]	[0.15, -1.12, 0.78]	[0.44, -2.49, -1.5]	[-1.43, 0.61, 0.65]	[-0.68, 0.06, 1.0]
[1.09, -1.88, 1.37]	[-2.04, 2.27, 2.43]	[1.23, 2.34, -2.28]	[2.31, 0.04, -2.17]	[-1.08, -1.31, 1.71]
[-1.48, 0.73, 1.13]	[-0.91, -1.65, -1.77]	[-1.66, 2.12, -1.66]	[1.64, 0.63, -0.81]	[-1.25, -0.44, 0.08]
