[-1.03, 1.86, 0.41]	[-0.54, -2.06, 1.58]	[-1.69, -1.72, -2.03]	[-0.73, 1.77, 0.99]	[-0.8, -2.45, 0.07]	[-0.81, 2.06, 0.79]
[-2.2, 1.09, 1.24]	[0.2, -1.43, 1.27]	[2.12, 2.34, -0.77]	[0.02, 0.45, 0.55]	[1.28, 0.56, 0.01]	[-2.41, -1.72, -2.4]
[-0.27, -0.67, -0.3]	[1.12, -1.34, 1.53]	[-0.64, 2.22, 0.89]	[-0.33, 2.34, -2.27]	[2.48, -0.47, -2.1]	[0.9, -1.21, 0.86]
[-0.62, 2.44, 2.28]	[-0.05, 0.39, 0.88]	[1.34, -1.07, 0.79]	[2.1, 1.21, -0.84]	[-2.32, 0.83, -1.74]	[2.37, 1.19, 1.44]
[-0.79, -1.57, -2.35]	[-1.87, -2.42, 1.57]	[-1.45, -1.66, -1.31]	[-1.87, 1.1, -0.38]	[-1.47, 2.22, -1.51]	[0.81, -0.21, -2.23]
[-1.54, 0.21, -1.16]	[-2.22, 1.73, 0.33]	[1.65, 0.65, 1.11]	[-1.43, 2.04, -2.44]	[1.36, 1.19, -1.53]	[-0.04, -0.08, 1.44]
[-1.84, 1.41, -0.94]	[-1.02, 2.1, 1.35]	[-2.45, -1.28, 1.31]	[-0.38, 2.22, -0.13]	[1.12, -0.6, 1.53]	[-1.56, -2.17, 0.68]
[-0.16, 0.15, -2.07]	[-1.99, -2.4, -1.68]	[-0.65, 1.29, 2.35]	[1.45, 2.4, -0.6]	[1.64, 0.43, 1.25]	[0.48, -2.07, -1.72]
[2.24, 1.05, -0.79]	[0.37, -1.96, 1.6]	[-1.6, -1.12, 1.88]	[-0.96, -2.01, 2.12]	[2.32, 0.81, -0.11]	[0.56, -1.3, 0.46]
[1.45, 0.51, 0.73]	[1.22, -2.3, -0.06]	[1.31, 1.43, -0.81]	[-0.54, 0.29, 0.2]	[0.7, 0.02, -1.53]	[2.2, -0.47, 1.14]
