[-0.43, -0.93, 0.97]	[2.02, 2.5, 2.32]	[-1.55, 1.97, 0.97]	[0.55, -1.71, -0.93]	[0.57, -0.11, 1.02]	[-0.97, 1.82, 1.11]	[0.63, -0.94, 1.0]
[-1.42, 0.89, -1.79]	[-1.27, -0.45, -1.2]	[1.36, -1.74, -1.57]	[0.3, -1.12, 2.03]	[1.24, -2.13, 1.75]	[1.21, -2.37, -0.52]	[-2.33, -0.51, 0.34]
[0.97, -0.04, -0.72]	[2.44, 0.73, 0.84]	[2.48, 1.18, -1.14]	[-0.26, 2.5, -1.03]	[-0.1, -2.02, 2.01]	[-1.23, -0.54, 1.69]	[1.64, -2.3, 0.57]
[-1.93, 0.4, -0.32]	[-1.28, -0.87, 2.26]	[-2.12, 1.2, -0.28]	[2.14, 1.38, -0.15]	[-0.82, 1.94, -1.11]	[1.89, 1.9, -0.98]	[-0.85, 1.75, -0.1]
[-0.98, -2.23, 1.86]	[1.22, -0.84, -1.09]	[-1.09, 0.89, 1.25]	[1.44, 1.41, 1.96]	[-1.4, 2.23, -2.24]	[2.25, -0.74, -0.24]	[-0.43, 0.63, -1.61]
[2.02, -1.84, -1.56]	[1.86, 2.43, 0.45]	[1.55, -2.5, -0.65]	[1.04, 0.57, 0.33]	[0.97, 0.49, 0.45]	[2.14, 1.09, 0.4]	[2.2, 0.43, 0.14]
[-1.57, -2.25, 1.19]	[2.33, 1.38, 1.88]	[-1.73, -0.08, 1.48]	[1.16, -0.56, -1.33]	[1.02, 0.36, 2.44]	[1.11, -0.35, 0.89]	[-2.32, -1.42, -0.09]
[-0.07, -0.63, 2.38]	[-0.45, -1.81, 0.69]	[1.73, -0.51, -1.28]	[-2.28, -2.06, -0.28]	[0.23, -0.71, -1.84]	[0.7, 0.41, -0.81]	[-1.19, -0.73, 1.49]
[-0.2, -2.01, 0.96]	[-1.01, 1.69, -1.31]	[1.33, 0.49, 1.58]	[0.69, 0.76, -0.35]	[0.16, 0.2, 0.77]	[-0.6, -2.13, 0.31]	[-0.8, -0.07, -0.22]
[1.86, 0.98, -0.34]	[0.35, -2.03, 1.32]	[0.04, -0.73, 1.38]	[-0.45, 1.91, -0.89]	[1.18, 1.14, -2.45]	[-1.86, 2.31, -0.21]	[-2.35, 1.67, -0.93]
