[0.62, 1.93, -0.6]	[-2.19, -0.44, 1.93]	[1.76, -0.72, -0.03]	[-1.06, -0.36, -0.52]	[1.73, 0.85, -0.01]	[0.99, -1.3, 1.03]	[-0.45, 0.98, 0.33]	[2.07, -0.14, 1.68]
[2.21, -0.85, 0.61]	[2.15, 1.72, -2.43]	[-0.12, -0.42, -0.21]	[1.52, -0.45, 1.27]	[-1.09, 1.45, -0.02]	[-1.46, -0.43, -2.38]	[1.42, 1.75, 0.13]	[0.19, -2.35, 2.26]
[0.92, -0.88, 1.67]	[0.09, 1.58, -0.55]	[0.25, -1.98, 1.15]	[-0.29, 2.18, 2.09]	[0.55, 0.73, -2.04]	[-1.34, 1.08, 0.1]	[-2.3, -1.02, -0.52]	[1.16, 1.32, -2.38]
[2.16, -0.15, 1.63]	[-0.66, 1.34, 2.01]	[-1.37, 0.34, -0.09]	[0.4, -1.75, -1.07]	[2.01, -1.41, -0.02]	[-2.44, -2.24, -0.29]	[-1.58, -1.23, -0.55]	[0.29, 0.52, 1.22]
[-0.1, -1.26, 1.41]	[-0.18, 2.04, -1.3]	[-1.66, 1.86, 0.02]	[-2.4, 0.4, 0.96]	[-0.23, -0.3, 0.06]	[-1.89, 1.56, 0.76]	[-1.54, -1.88, -2.05]	[-1.91, 2.11, 0.18]
[-1.45, -1.15, -1.39]	[0.41, -2.06, 0.22]	[-2.0, 2.22, 1.9]	[1.94, 1.42, -0.64]	[2.28, 0.06, 0.01]	[2.07, 1.39, -2.35]	[-2.44, 1.84, 2.48]	[1.8, 1.8, 2.45]
[1.15, -0.09, -1.83]	[1.84, -2.19, -2.29]	[0.83, -0.31, -1.7]	[-0.31, -0.29, -2.01]	[1.17, -0.98, 0.61]	[-1.95, -0.81, -0.56]	[1.6, -1.7, 1.23]	[-0.17, 0.52, -0.81]
[0.6, -2.4, 2.11]	[1.56, 0.34, -1.14]	[-1.58, -1.76, -1.95]	[0.53, -1.63, 1.85]	[1.43, -0.52, 1.16]	[-2.33, 2.44, 1.97]	[0.72, 1.44, 2.44]	[1.75, 0.96, -1.5]
[-0.47, 1.79, -0.28]	[1.83, -0.38, 2.0]	[0.28, 1.22, 2.19]	[2.02, 2.1, -0.99]	[-1.65, 1.19, 1.54]	[1.56, -2.47, -0.46]	[-2.18, 0.81, -1.82]	[1.53, 1.08, 0.83]
[-1.56, 0.22, -1.88]	[1.05, 1.93, 0.19]	[0.26, 0.75, -1.95]	[1.42, -2.39, 1.51]	[2.48, 0.59, -1.65]	[1.91, -1.88, 0.19]	[0.73, -0.93, 0.72]	[1.36, 0.72, 0.67]
