[2.18, -0.55, 0.52]	[1.33, 0.81, 0.39]	[-0.52, 2.19, 1.65]	[-0.31, 0.8, 1.89]	[-1.32, -1.54, -1.66]	[-1.85, -0.51, -0.43]	[-1.31, 2.33, -0.68]	[-2.15, 1.55, 0.73]	[-1.11, 1.62, -2.27]
[-0.9, 2.28, -1.95]	[1.21, -0.06, 0.87]	[-1.2, -0.53, 1.63]	[-0.62, 0.66, -2.12]	[-2.13, 0.86, -0.85]	[-1.99, -0.91, 0.96]	[0.89, 1.56, 1.94]	[0.38, -1.99, -1.6]	[1.54, 1.81, 2.12]
[1.92, 1.16, -2.34]	[1.56, 1.55, 1.38]	[-0.12, 2.24, -0.28]	[-1.57, -2.21, 1.64]	[-0.05, -1.22, -0.3]	[1.55, 2.18, 0.98]	[1.87, 1.33, 0.85]	[0.48, -0.85, -1.17]	[-2.38, 1.55, -1.51]
[-1.19, -0.03, -2.37]	[-1.56, -1.46, -2.05]	[0.02, -0.98, -1.47]	[-0.95, 2.07, 0.83]	[2.47, 1.87, -2.16]	[-1.0, -0.09, 0.88]	[1.44, -0.03, -1.11]	[0.4, 1.74, 0.89]	[0.48, 0.2, -1.74]
[0.89, -1.58, 2.01]	[1.4, 1.91, 1.98]	[2.4, 1.57, -1.23]	[-0.3, -0.98, 2.13]	[2.45, -0.46, -2.18]	[1.52, 2.46, -2.05]	[-1.98, -0.91, -0.79]	[-2.2, 0.4, 0.26]	[-1.75, -2.47, -1.4]
[-1.62, 1.69, -0.18]	[-1.56, 0.59, 2.26]	[-0.85, -0.21, -0.36]	[1.46, 1.69, -0.14]	[-1.32, 0.26, -1.69]	[-1.97, -0.71, -1.37]	[-2.29, -2.05, -0.12]	[0.3, 0.5, -0.5]	[0.22, -1.99, -2.41]
[2.05, 2.18, 2.15]	[1.96, 2.37, 0.5]	[1.99, -1.12, 1.5]	[-1.71, -0.58, 1.01]	[-1.99, 2.29, 0.41]	[-2.16, 0.44, 1.2]	[-1.07, -2.16, 1.16]	[0.6, 2.36, 1.14]	[-0.67, -0.91, 1.53]
[-0.06, 0.59, -1.47]	[-1.27, -2.49, 0.61]	[1.72, -1.35, 0.05]	[-2.29, -0.07, 2.05]	[-1.61, 1.54, -1.69]	[-1.36, -1.69, 1.84]	[-0.12, -2.01, -0.78]	[0.63, -0.14, 1.46]	[1.83, 1.26, -2.1]
[-1.24, -1.8, 0.66]	[1.07, -2.43, -1.29]	[0.51, -2.13, -1.55]	[0.43, 1.65, 1.3]	[1.78, -1.57, -1.41]	[0.1, -1.18, -1.94]	[-2.44, 0.2, -0.33]	[-0.5, 1.81, 1.48]	[2.03, -1.96, -0.91]
[0.08, 0.87, -1.03]	[-0.08, 1.52, 0.19]	[1.01, -1.42, 1.4]	[0.81, -1.9, -0.48]	[-0.36, 0.62, -1.1]	[-1.11, -1.5, -2.16]	[-2.43, 1.21, 2.13]	[0.89, -1.49, 0.57]	[1.93, -1.5, 2.19]
