[-2.19, -1.62, -2.29]	[1.19, -1.4, 0.48]	[-2.13, -0.68, 1.2]	[-0.54, 0.31, 1.99]	[2.2, 1.73, 1.26]	[-0.26, 1.9, -1.35]	[-1.42, 1.74, 1.82]	[-1.24, 1.87, 1.67]	[-2.35, 0.44, 2.19]	[-0.91, 1.14, 0.41]
[1.24, -1.96, -1.67]	[-0.14, 1.43, -1.48]	[1.14, -1.17, 1.06]	[0.48, -1.13, 1.54]	[-1.51, 1.15, -2.31]	[2.04, -1.95, -1.42]	[2.04, 0.4, 1.32]	[-2.08, 1.78, -1.23]	[-2.45, -2.11, -1.59]	[-2.24, -0.92, -0.56]
[-2.4, -1.84, 0.55]	[0.28, 0.85, -1.52]	[-1.85, 0.07, -0.3]	[-0.57, 1.52, -1.09]	[1.21, -1.23, -1.53]	[1.82, 0.18, -1.04]	[-0.94, -1.67, -0.86]	[-1.15, 2.14, 1.55]	[-1.09, -1.69, 0.05]	[0.08, 1.3, 0.42]
[0.15, -1.95, -1.53]	[-2.33, 1.74, 0.28]	[-1.06, -1.21, 1.46]	[-2.5, -0.46, -0.98]	[0.34, -2.34, -1.06]	[-2.24, -2.22, 0.15]	[0.01, -2.21, 1.48]	[-1.52, 0.12, 0.0]	[-2.41, -2.16, 0.69]	[0.04, -0.75, -1.35]
[-0.12, -1.7, 1.85]	[1.97, 0.62, 2.01]	[-0.33, -0.93, -0.6]	[1.24, 1.04, 2.48]	[-1.92, -0.39, -2.43]	[2.09, 1.97, 2.36]	[-0.73, 1.13, 0.4]	[2.04, 0.85, -0.96]	[-2.36, -0.56, 2.5]	[-2.4, -1.11, -2.28]
[-2.15, -0.34, 2.13]	[1.42, -0.66, 0.57]	[0.76, -0.12, -0.86]	[2.16, -0.75, 0.63]	[-1.95, 0.43, -1.23]	[-1.93, -1.07, 1.8]	[-1.49, -1.6, -1.41]	[-1.21, -0.05, -1.82]	[-0.04, 2.14, -0.97]	[-1.94, -1.59, -0.1]
[1.57, 0.22, -1.33]	[-1.17, 2.12, -2.09]	[0.75, -2.41, -2.11]	[2.15, 1.33, 1.52]	[1.33, 0.38, 2.13]	[2.26, -1.23, 0.33]	[2.22, 2.36, 1.68]	[-1.34, -2.42, -0.26]	[-0.45, -0.77, -1.11]	[-2.38, 0.84, -1.08]
[-1.25, 1.61, 0.15]	[-0.7, 1.9, -1.1]	[0.98, 0.46, 2.32]	[-0.11, -0.53, 0.25]	[0.78, 2.1, 0.42]	[0.43, -1.17, -1.59]	[0.16, 1.99, 1.18]	[-0.46, -0.89, -1.32]	[2.12, 1.38, -0.24]	[-0.19, -0.87, -1.91]
[2.22, -0.74, -0.02]	[-0.92, 0.89, 1.53]	[0.77, -1.55, 1.27]	[1.99, -1.81, 1.09]	[-1.92, 1.53, 2.24]	[-0.71, 1.52, 1.26]	[-2.31, -1.84, 2.37]	[1.84, 1.9, 0.73]	[-0.95, 1.63, 0.27]	[-2.24, 1.79, -2.46]
[0.33, -1.0, 0.52]	[2.44, 0.02, 1.95]	[-0.53, 1.0, -2.13]	[-0.59, -1.94, -1.1]	[-1.77, 0.85, -2.12]	[1.95, -2.43, -1.65]	[-0.59, 0.83, 0.26]	[0.37, -1.76, -0.93]	[2.47, -1.87, 0.68]	[0.3, 0.16, 2.15]
