[0.44, -0.65, 0.54]	[0.87, -1.33, 0.96]	[1.47, -1.41, -0.37]	[2.45, -0.3, 0.77]	[1.07, 1.16, -1.3]	[0.36, -1.55, 1.46]	[0.34, 1.94, -0.26]	[-0.73, 0.08, -2.08]	[0.53, -1.69, 1.81]	[-1.17, -0.35, -1.49]	[0.79, 1.05, -1.91]	[1.89, -0.83, -1.01]	[-1.5, 1.94, 1.22]	[0.53, 0.53, 2.44]	[0.23, -0.7, 0.62]
[0.83, -0.68, -0.47]	[2.23, -0.23, 2.14]	[1.85, 0.6, 1.97]	[-0.96, 1.06, -2.11]	[-1.93, -0.56, -2.48]	[-0.08, 1.07, -1.4]	[-2.03, -1.41, -2.34]	[-0.3, 1.61, 2.06]	[0.33, 0.85, -1.45]	[-2.42, -0.61, 2.45]	[-0.51, -2.48, 0.73]	[-0.45, -1.63, 1.0]	[0.74, -1.99, 0.04]	[-0.41, -0.87, 1.3]	[-1.93, -0.85, 1.27]
[-2.48, -1.82, 0.35]	[0.96, -0.08, 0.94]	[1.9, -1.31, -1.85]	[-1.09, 1.58, -1.6]	[2.45, 0.86, 1.98]	[0.91, -2.04, -1.55]	[0.93, 2.14, -1.07]	[-0.45, -1.64, -1.07]	[-1.42, 0.64, 1.94]	[-2.2, -1.6, -1.81]	[2.32, -0.43, -1.72]	[0.23, 1.71, 0.18]	[0.34, 0.9, 0.28]	[-1.34, 0.02, -2.06]	[2.02, 2.48, -1.41]
[-0.41, -0.25, -1.09]	[0.11, -1.57, 0.54]	[-1.35, -2.26, 0.73]	[-0.43, -1.99, 2.48]	[0.06, -0.44, -0.26]	[-1.71, 0.82, -1.03]	[1.58, -2.46, 0.35]	[2.46, 0.18, -0.43]	[0.02, 2.38, 0.92]	[-1.44, -0.18, 1.8]	[-0.53, 0.51, -2.42]	[-1.66, -0.91, 2.02]	[1.5, 1.2, 2.28]	[-0.61, 1.83, 0.81]	[1.14, -1.23, -1.94]
[1.06, 0.53, 1.04]	[-2.23, -0.05, -1.57]	[0.31, -1.96, -2.47]	[1.24, -2.44, -1.98]	[1.15, 0.56, 1.67]	[-0.56, -2.17, 2.29]	[1.23, 1.19, 1.62]	[0.12, -0.37, 0.41]	[-1.44, -0.97, 1.53]	[1.41, 1.47, -0.2]	[0.08, -2.46, 1.57]	[1.75, 1.49, -0.81]	[1.5, -0.75, 1.34]	[-0.33, -2.03, 1.37]	[2.45, 1.81, 1.82]
[2.05, 1.63, -0.99]	[-0.47, 0.78, 0.94]	[-0.16, 1.31, -1.95]	[-1.11, -2.37, -1.01]	[0.3, 0.67, -0.2]	[-1.16, 1.05, 2.33]	[-2.1, 0.13, 1.14]	[-1.17, -2.3, -1.44]	[-0.58, 1.57, -1.97]	[-0.02, 0.05, -0.08]	[2.34, -2.14, -1.31]	[2.08, 0.43, -0.55]	[-2.25, -1.39, -1.2]	[-0.1, -1.3, 2.39]	[-1.61, 2.05, -0.98]
[1.76, -1.74, 1.6]	[-2.06, -1.63, 1.92]	[-1.62, 2.12, -1.17]	[-1.33, -0.74, -2.4]	[-1.46, 0.04, 1.56]	[0.95, 1.06, 0.36]	[0.45, -0.31, 1.95]	[0.36, 1.08, 1.69]	[0.46, -1.96, -2.36]	[1.27, 0.12, -2.48]	[-2.14, 2.34, -1.26]	[-1.98, 1.55, -0.96]	[-1.93, -0.15, 1.19]	[-0.7, -0.34, 0.86]	[1.23, -2.49, -0.86]
[-0.8, -1.71, 0.46]	[2.47, -1.65, -1.15]	[0.59, 0.55, 0.47]	[-1.89, 1.92, 0.68]	[2.32, 2.06, -0.73]	[-0.25, 2.25, -1.25]	[-1.5, -0.85, -1.36]	[-1.79, 1.9, -0.29]	[0.8, 2.25, 1.91]	[-0.99, 0.27, -2.32]	[-0.1, 0.62, -1.26]	[-1.54, -1.92, -1.58]	[-2.37, 1.28, 1.1]	[-0.42, 1.02, -1.56]	[2.45, -2.5, -0.49]
[0.52, -0.86, 1.39]	[0.01, 0.52, 0.23]	[0.67, 1.45, 0.67]	[-0.73, -0.88, -1.72]	[1.7, 2.26, 1.02]	[-1.47, -1.48, 0.74]	[0.09, -1.44, -1.74]	[-0.62, -0.62, -1.25]	[1.2, -0.93, -1.75]	[-0.76, -0.11, 0.8]	[1.43, -0.96, 2.15]	[-1.03, -1.83, -1.11]	[1.82, 1.91, 2.13]	[-2.38, 1.85, -1.32]	[1.71, 0.98, -0.96]
[-0.77, 0.82, -1.96]	[1.82, 1.5, -0.87]	[1.75, -0.01, 0.6]	[-1.34, -0.86, -1.04]	[-1.84, -0.25, 0.79]	[-1.23, -2.06, 1.41]	[-2.03, 0.45, 1.39]	[-0.36, -1.1, 2.09]	[1.55, 2.42, 1.67]	[-0.72, -0.72, -1.99]	[0.61, 1.99, 1.55]	[-1.51, 1.76, 1.04]	[-2.44, -0.22, 1.58]	[0.55, 1.44, 1.76]	[-2.36, -0.58, -1.52]
