[-0.49, -1.81, 2.19]	[0.49, -0.19, -0.21]	[1.33, -0.34, 1.37]	[-1.75, -2.3, 1.79]
[1.91, -1.53, -0.78]	[-0.05, 1.53, -1.58]	[1.06, 1.62, -1.68]	[-0.68, 2.21, 2.26]
[-1.77, 1.17, -1.72]	[0.53, -2.1, 0.71]	[-0.14, 0.88, 1.65]	[-1.65, 1.74, 1.2]
[-1.15, 2.06, 1.36]	[-0.2, 0.01, -2.45]	[-0.46, 0.46, 1.49]	[1.56, -1.55, 2.11]
[-0.28, 1.3, 1.87]	[-0.34, 0.45, -1.32]	[-1.86, 1.21, -1.14]	[1.56, -1.94, -0.98]
[-0.16, -0.75, -0.54]	[0.17, 1.31, 1.84]	[-1.84, 1.04, -2.45]	[-0.91, -1.2, 1.33]
[-1.96, 1.0, 0.29]	[-1.53, 0.39, -1.08]	[0.84, -1.74, 2.39]	[-1.95, -2.05, -2.26]
[2.06, 0.39, 0.52]	[-1.02, 1.11, -2.33]	[-2.26, 0.93, 2.07]	[-0.01, 1.95, 2.48]
[-0.92, 2.33, 1.1]	[-0.18, -0.53, 1.05]	[0.5, -2.39, 2.43]	[-1.3, 2.37, 0.34]
[-1.82, -1.57, -1.87]	[1.75, -1.21, -1.75]	[1.98, 0.06, -0.13]	[-0.15, -1.57, 0.03]
