[1.36, -1.2, 0.37]	[-2.23, 0.11, -2.25]	[-0.24, 0.48, 2.28]	[0.54, -2.39, -0.11]	[-2.18, -2.4, -0.06]
[2.45, 2.33, 0.99]	[0.1, -0.5, 1.34]	[0.71, -0.24, -0.46]	[0.28, 1.46, 2.44]	[-0.42, 2.13, -0.79]
[1.21, -0.69, 1.68]	[-1.94, 0.96, -1.89]	[1.62, -0.8, -2.37]	[-2.27, -0.41, 0.25]	[-1.43, 0.24, -1.5]
[1.74, 0.53, 1.55]	[-1.61, -2.15, -0.17]	[-2.05, -2.38, 0.69]	[1.52, -1.09, -1.23]	[2.28, -2.11, -0.4]
[-2.1, 0.47, 0.59]	[1.21, 2.11, 2.35]	[0.71, 1.7, 1.94]	[-1.93, -0.15, 2.0]	[0.53, 1.2, 1.52]
[0.9, -1.4, -0.96]	[-2.22, -1.02, 1.85]	[-0.7, 0.63, -1.98]	[1.27, -0.09, 0.05]	[-2.08, 0.22, -0.65]
[-1.85, 1.49, -1.93]	[-0.53, -0.91, -0.78]	[-0.82, 1.93, 1.84]	[2.16, -2.24, -0.11]	[1.3, 0.83, 2.09]
[-1.42, 1.71, 0.71]	[-0.28, 1.12, 2.37]	[-0.55, -1.43, -1.85]	[-1.58, -1.03, 1.49]	[1.44, -0.74, 0.96]
[1.33, 1.58, 1.56]	[-1.06, -0.55, 0.83]	[-0.83, -1.83, 0.4]	[-1.14, -1.07, 0.55]	[-2.1, -1.73, -2.03]
[-0.98, -1.01, -0.46]	[-0.76, 2.1, 0.63]	[2.18, -1.94, 2.06]	[0.76, 1.61, 1.08]	[-2.12, 1.49, 1.2]
