[1.46, 1.72, -1.33]	[1.88, -1.93, 2.34]	[-2.42, -2.04, -1.53]	[0.33, 1.63, -0.19]	[-0.01, 1.27, -1.03]	[0.84, -0.32, 2.22]
[1.78, 0.5, -2.21]	[1.41, 2.28, -0.38]	[1.85, 2.46, 2.45]	[-1.71, -0.31, -1.84]	[2.5, -2.09, -2.02]	[-0.81, -1.38, -1.08]
[-1.86, 1.65, -0.18]	[1.76, -0.1, 1.25]	[0.73, 2.27, -0.86]	[-2.46, 1.33, 2.15]	[-0.5, -0.72, 0.84]	[1.02, -0.13, 2.06]
[2.02, 1.88, -2.25]	[0.49, -0.2, -2.42]	[-1.97, 2.42, -0.14]	[2.12, 2.07, -1.87]	[-1.63, -0.44, 2.47]	[-0.08, 0.66, 1.88]
[0.55, -2.45, -1.34]	[1.93, -0.12, 0.75]	[0.56, -2.43, -1.67]	[-2.14, -2.39, -2.17]	[0.92, -1.34, 1.5]	[-0.81, -0.81, 1.51]
[-1.49, 2.34, 0.42]	[-1.07, 1.77, -1.86]	[1.59, 0.32, 0.28]	[0.21, -2.05, 0.85]	[2.47, 1.28, -1.61]	[-1.06, 1.67, 1.68]
[2.08, -1.99, -1.77]	[0.44, 0.58, -1.18]	[2.31, 0.92, 1.72]	[2.36, 0.67, 0.22]	[-0.84, 0.03, -1.15]	[-1.4, 2.23, 1.5]
[2.16, -1.33, -1.26]	[1.72, 1.66, 1.51]	[2.37, 0.28, 1.81]	[0.93, 1.13, 1.04]	[0.16, 1.52, 1.86]	[0.04, 2.45, 0.94]
[-0.43, 2.0, -0.95]	[0.34, 0.97, 1.68]	[-1.0, -2.33, 0.83]	[0.59, -0.11, 0.7]	[-1.8, -2.16, -0.23]	[-1.78, -1.75, -0.83]
[-0.42, 1.01, 1.17]	[0.8, 0.22, -0.61]	[0.37, -0.58, 1.64]	[2.29, -1.61, 0.56]	[2.06, 1.63, -0.91]	[-0.58, 0.2, 1.92]
