[0.61, 0.1, 0.44]	[-1.52, -0.32, 2.23]	[1.37, 0.05, 2.46]	[-2.46, 1.83, 0.91]	[-0.27, -0.02, -1.1]	[-0.82, 0.39, 0.68]	[-1.05, 1.45, -1.91]
[0.88, 1.15, -1.09]	[0.48, 2.18, 0.98]	[2.23, 1.1, -0.09]	[0.25, -1.54, 0.22]	[-0.53, 1.12, -0.85]	[2.49, -1.11, -2.16]	[-2.31, 0.79, 1.87]
[-0.78, 1.06, -0.16]	[-0.1, 1.41, -2.24]	[2.47, 0.44, 2.04]	[0.15, 0.37, 0.23]	[1.89, -2.34, -1.86]	[-0.39, 0.3, 0.51]	[0.22, -0.94, -1.99]
[1.76, 0.86, 1.55]	[0.14, 1.88, -0.85]	[-2.15, 1.06, -1.1]	[0.83, -2.22, 1.49]	[2.09, -1.81, 0.21]	[-1.36, 0.61, 0.27]	[-1.29, 1.58, -0.16]
[0.65, -2.21, -1.32]	[-0.96, -0.47, -1.82]	[0.7, -0.11, 0.49]	[0.48, 1.26, 1.13]	[-1.95, 0.52, -1.64]	[0.27, 0.13, -0.12]	[-0.66, 1.34, 0.16]
[0.81, -1.27, 2.34]	[-1.98, 1.35, -1.76]	[1.52, 1.72, 0.92]	[-0.75, -0.33, -1.17]	[-2.0, 0.7, -0.51]	[-2.33, 0.22, -1.23]	[-0.33, 0.54, -1.92]
[1.62, 0.17, -2.34]	[1.4, 2.32, 0.28]	[-1.09, -2.04, 0.61]	[-1.31, -1.79, 0.96]	[0.85, -2.08, -0.17]	[2.27, -1.65, 0.64]	[1.74, -0.33, 1.45]
[1.2, 0.24, 2.02]	[1.32, 2.47, -0.03]	[2.01, 2.18, 1.05]	[-1.35, 1.2, 1.19]	[0.94, -1.16, -0.78]	[1.53, -0.93, 1.91]	[-1.07, -1.46, 2.05]
[2.44, -1.17, -0.99]	[-1.95, -1.83, -0.11]	[1.16, 0.85, -0.97]	[-2.04, 0.9, -1.21]	[-2.45, -0.27, 0.99]	[-1.54, 1.23, -2.14]	[1.67, -0.09, 0.3]
[1.71, -1.37, 1.74]	[0.37, -1.27, 1.95]	[0.98, 0.4, 0.72]	[-0.28, 2.28, 2.26]	[1.75, -1.3, -1.39]	[0.39, 0.9, -1.69]	[1.56, -1.27, -2.36]
