[-1.63, 1.65, -1.39]	[-2.39, 0.57, 0.09]	[-1.8, 1.32, -2.29]	[-0.82, -1.29, -1.56]	[-1.98, -1.41, 0.47]	[-2.28, 2.11, 1.2]	[-2.08, 1.41, -1.75]	[0.77, 2.05, -0.85]
[0.83, -1.4, -0.61]	[-1.66, -1.57, -0.86]	[-2.12, 0.65, 1.57]	[1.71, -0.22, 1.56]	[2.48, 1.36, -0.15]	[-0.35, -1.66, -1.75]	[-1.64, 0.78, 1.11]	[-0.36, -0.18, 0.0]
[-0.48, -0.14, -1.94]	[-1.14, 2.17, -0.27]	[-0.75, -0.84, -1.55]	[0.41, -1.84, -2.11]	[1.32, 0.62, 1.62]	[2.44, 2.47, 2.18]	[-1.28, 0.17, 0.22]	[-2.48, 2.08, -2.19]
[-1.03, -1.71, 1.34]	[-2.44, -1.71, -0.42]	[-0.33, -2.43, 2.4]	[2.01, 0.37, -0.13]	[-0.62, -0.27, 0.48]	[0.09, 2.05, 0.46]	[-2.44, 2.16, -0.61]	[1.64, -0.02, -1.3]
[-0.49, -1.31, 0.77]	[1.46, 0.73, 1.79]	[2.02, 0.54, -1.09]	[2.1, 1.66, 0.69]	[0.94, -0.67, -1.04]	[2.47, 1.64, -0.27]	[-1.8, 0.52, 1.01]	[-0.37, -0.77, -0.54]
[-1.07, -0.15, -0.35]	[-1.23, 1.05, 2.39]	[-0.49, -1.82, 1.38]	[-0.33, 1.77, -0.33]	[-0.78, 0.35, -1.96]	[1.08, -1.67, -1.41]	[2.35, -0.62, -0.45]	[1.37, -1.17, -0.52]
[1.29, 1.15, -0.95]	[-0.27, -0.14, 1.99]	[-0.25, 2.29, -0.56]	[-0.11, 1.78, 1.13]	[0.9, -0.2, -1.93]	[0.42, 2.34, -1.75]	[-0.75, 1.33, 2.24]	[-0.87, -2.48, -2.16]
[0.59, -0.89, 1.27]	[-0.95, -1.47, -1.28]	[2.16, 0.34, 1.51]	[-0.59, -0.72, -2.01]	[0.49, -0.28, -0.1]	[-0.58, -1.18, 2.48]	[-2.46, 1.33, 1.99]	[-1.01, -0.69, -1.11]
[-1.35, -2.02, -0.67]	[1.09, -0.26, -0.62]	[0.09, 0.69, 1.36]	[1.58, 1.56, -0.98]	[-0.43, 1.47, 1.22]	[-0.76, -1.43, -2.46]	[-1.95, -1.18, 1.63]	[-0.41, 2.29, 1.46]
[1.74, 2.31, -1.96]	[0.75, -2.4, 2.17]	[1.29, -1.83, -1.17]	[1.21, -2.11, 0.82]	[-0.27, -1.11, 0.48]	[2.11, 1.4, 1.01]	[2.43, 0.1, -0.47]	[1.83, -0.66, -2.37]
