[2.49, 0.64, -2.47]	[-0.97, 1.81, 0.36]	[-1.1, -1.11, -1.36]	[-0.04, 0.17, 0.94]	[0.56, 0.54, -1.68]	[-0.69, -1.01, 1.12]	[0.62, 1.84, -1.32]	[-1.92, -0.57, 0.46]	[0.5, -0.03, 0.61]
[1.33, -2.19, 0.38]	[1.23, -0.24, 2.33]	[1.13, 0.53, 1.31]	[0.59, 2.2, -0.49]	[1.36, -1.58, -0.81]	[0.49, 1.65, 1.01]	[-2.47, 1.24, 1.26]	[0.66, -2.02, -1.1]	[2.5, -0.12, 1.85]
[1.54, 2.36, -0.25]	[-0.54, -2.32, -0.13]	[0.07, -2.36, -0.01]	[-1.03, 0.04, -0.79]	[0.56, 1.61, 0.66]	[0.35, -0.12, -2.08]	[-1.97, -0.16, 2.5]	[1.61, -1.6, 1.55]	[1.63, -2.23, 0.4]
[0.48, 1.45, 1.17]	[1.77, 1.68, 1.85]	[-1.33, 1.13, -2.17]	[2.19, -0.02, -0.29]	[1.65, 1.21, 1.05]	[2.2, -1.81, 1.57]	[0.8, 1.18, 2.31]	[-0.92, 1.71, -1.88]	[-2.4, -1.29, -0.11]
[0.87, 2.06, 1.79]	[0.38, -2.16, -1.05]	[2.0, -1.34, 1.16]	[0.28, -1.85, -2.45]	[-1.72, 0.79, -0.55]	[2.03, 0.12, -1.44]	[1.97, -0.05, 0.58]	[2.37, 1.15, 0.71]	[-2.16, -0.33, 1.32]
[0.57, -0.2, -1.39]	[-1.51, 1.17, 0.82]	[1.45, -0.02, -2.02]	[1.05, 1.15, -1.33]	[2.45, -0.75, -1.97]	[0.23, -2.21, 0.15]	[-1.64, -1.71, -2.1]	[0.77, -0.92, -1.74]	[0.8, 1.97, 2.0]
[-2.2, 1.14, 2.34]	[1.22, 0.67, -0.84]	[1.37, 1.06, -1.73]	[-1.9, 1.85, -2.03]	[-0.87, 2.28, 2.18]	[-0.72, 0.95, -2.43]	[2.17, -0.42, 2.27]	[-1.39, 0.58, -2.29]	[-1.56, -1.57, -0.93]
[-1.97, 0.53, 1.75]	[-0.92, -0.01, -0.56]	[1.91, -1.38, -0.52]	[0.75, 0.4, -1.39]	[0.24, -1.48, -0.39]	[-1.0, 1.03, 0.2]	[1.29, -1.96, 0.13]	[0.41, 2.08, 0.69]	[0.42, 0.8, 1.97]
[2.04, -0.42, -1.93]	[-0.06, 1.72, -1.0]	[0.47, -2.37, 1.22]	[1.12, -1.1, 1.0]	[2.09, -0.74, -0.48]	[-2.44, -0.44, 1.64]	[2.27, -0.98, 1.28]	[1.32, -2.23, 2.37]	[1.08, 0.41, 1.88]
[-1.23, -1.86, 1.26]	[1.4, -0.48, -0.77]	[-0.6, -2.08, 2.21]	[-1.01, -0.01, -2.35]	[0.53, 1.33, 1.41]	[2.3, -0.15, 1.38]	[-0.71, 0.63, 2.4]	[-2.38, -0.14, 1.89]	[-0.85, 0.46, -2.27]
